cnumber,"chinese name","english name","login name",password,status
1,野火樂集公司,"Veum, Lakin and Klein",SBC-auUB2g,SBCCFG65n,0
2,豪客有限公司,"Stroman, Zieme and Schumm",SBC-ahuTRt,SBCPPHMow,0
3,紅心辣椒有限公司,"Johns PLC",SBC-BmCTZw,SBCMiZRMO,0
4,弘煜電子,Buckridge-Kuhic,SBC-RyDjmJ,SBCZx19N1,0
5,美妙工業,"Schulist LLC",SBC-M8jNIM,SBCLSqS2u,0
6,睛水有限公司,Heller-Aufderhar,SBC-gsfkk3,SBC3RrKNv,0
7,弘煜公司,"Abshire Ltd",SBC-AOwWkx,SBC5iOXZK,0
8,擎天集團公司,"Doyle Group",SBC-bfEL0r,SBCwY2W5L,0
9,趨勢股份有限公司,Wilderman-Bogisich,SBC-E1Jkw2,SBCK5Hrxf,0
10,新亞洲科技公司,"West PLC",SBC-p800Hk,SBCBZmfGh,0
11,弘煜音樂,"Bins, Blanda and Fadel",SBC-N707dg,SBC7UeBcb,0
12,野火樂集唱片,Muller-Zboncak,SBC-HtreWI,SBChL9ldS,0
13,研華文化,Daniel-Schneider,SBC-xewmpa,SBCycqmbN,0
14,當然股份有限公司,"Ankunding Ltd",SBC-QghEko,SBCqPkeO1,0
15,福茂股份有限公司,Ullrich-Murphy,SBC-r99sW7,SBCRUSQUi,1
16,芮河電腦股份有限公司,"Skiles PLC",SBC-o8vksd,SBCucg5g1,1
17,喬山有限公司,"Johnson, Miller and Schowalter",SBC-U6Vy9y,SBCZZIRwH,0
18,英特衛有限公司,Olson-Huel,SBC-9ZEQA0,SBCL8ezRi,1
19,亞神有限公司,"Carter, Nitzsche and Hartmann",SBC-btHGeB,SBC3TSKYv,0
20,英特衛有限公司,"Ryan Inc",SBC-aoAvVr,SBCdTICwo,0
21,大宇集團股份有限公司,"Hills, Zboncak and Kertzmann",SBC-78f8Xt,SBC9qAIGY,0
22,智冠文化,Swaniawski-Carter,SBC-WkxCTu,SBC5gR6O2,0
23,亞神集團,Kovacek-Reichert,SBC-BcKlX7,SBCpCI15N,1
24,華研有限公司,"Rogahn, Sauer and Mueller",SBC-37t6OW,SBCHg4myE,1
25,睛水酒店股份有限公司,"King and Sons",SBC-Udb9Qd,SBCk0U3MU,0
26,創見酒店,Jast-Friesen,SBC-D6iPub,SBC37pGgF,0
27,群石酒店,Fisher-Lueilwitz,SBC-rOgNtW,SBCSM7Yl9,1
28,華研股份有限公司,DuBuque-Von,SBC-s3NRUm,SBCClE1iP,0
29,華義有限公司,"Hickle LLC",SBC-V8vKfT,SBC9wg2Mm,1
30,大宇汽車,"Kirlin PLC",SBC-kJFzxH,SBCnkRiTx,0
31,遊戲橘子酒店,"Emard, Greenfelder and VonRueden",SBC-qxuxWe,SBCULVaEh,0
32,美妙酒店,Senger-Lind,SBC-7DZIBF,SBChfA6ds,0
33,擎天電子有限公司,"Kerluke, Gorczany and Kreiger",SBC-er7erH,SBCvNsiNA,0
34,擎天音樂,"Walter, Rodriguez and Botsford",SBC-C4TZo9,SBCy1szZ7,0
35,阿爾發數位,"Gusikowski Group",SBC-2t4H29,SBCnvzxLT,1
36,合勤企業公司,"Ritchie LLC",SBC-8O8Csg,SBC6xs68U,0
37,太陽動力公司,"Casper Inc",SBC-Ev3zxX,SBCr9MATY,1
38,太陽動力唱片,"Dietrich, Veum and Greenholt",SBC-MP9Ztn,SBCD0J31L,1
39,創見音樂有限公司,"Shields, Welch and Steuber",SBC-Feov3F,SBCYP6hT8,1
40,彎的科技,"Fritsch, Stroman and Fadel",SBC-00hQaF,SBCxmSPrr,0
41,英特衛公司,"Cassin PLC",SBC-djSqVV,SBCH3JjHf,0
42,角頭工業,"Ankunding and Sons",SBC-wMNjTZ,SBCyHdlHK,1
43,統一唱片,"Pagac and Sons",SBC-rEEpT0,SBCgHpdFL,0
44,未來有限公司,"Barrows, Veum and Koss",SBC-AOmoZd,SBCSuIeAI,0
45,松崗證券公司,Hane-Wunsch,SBC-omGfwz,SBCTv1i7K,1
46,光譜有限公司,Bednar-Kub,SBC-xVSG6y,SBC9grERj,0
47,華研唱片股份有限公司,Murray-Hackett,SBC-nEClbB,SBC6sbrFW,0
48,王品酒店股份有限公司,"Hayes Group",SBC-Qm4LbA,SBCbcHeh9,1
49,訊連集團,"Powlowski, Berge and Blanda",SBC-UacLB2,SBCdXRuOk,1
50,合勤有限公司,Ondricka-Becker,SBC-lolEKN,SBCBqC7HF,0
