cnumber,"chinese name","english name","login name",password,status
1,野火樂集公司,"Veum, Lakin and Klein",SBC-auUB2g,SBCCFG65n,0
2,豪客有限公司,"Stroman, Zieme and Schumm",SBC-ahuTRt,SBCPPHMow,0
3,紅心辣椒有限公司,"Johns PLC",SBC-BmCTZw,SBCMiZRMO,0
4,弘煜電子,Buckridge-Kuhic,SBC-RyDjmJ,SBCZx19N1,0
5,美妙工業,"Schulist LLC",SBC-M8jNIM,SBCLSqS2u,0
6,睛水有限公司,Heller-Aufderhar,SBC-gsfkk3,SBC3RrKNv,0
7,弘煜公司,"Abshire Ltd",SBC-AOwWkx,SBC5iOXZK,0
8,擎天集團公司,"Doyle Group",SBC-bfEL0r,SBCwY2W5L,0
9,趨勢股份有限公司,Wilderman-Bogisich,SBC-E1Jkw2,SBCK5Hrxf,0
10,新亞洲科技公司,"West PLC",SBC-p800Hk,SBCBZmfGh,0
11,弘煜音樂,"Bins, Blanda and Fadel",SBC-N707dg,SBC7UeBcb,0
12,野火樂集唱片,Muller-Zboncak,SBC-HtreWI,SBChL9ldS,0
13,研華文化,Daniel-Schneider,SBC-xewmpa,SBCycqmbN,0
14,當然股份有限公司,"Ankunding Ltd",SBC-QghEko,SBCqPkeO1,0
17,喬山有限公司,"Johnson, Miller and Schowalter",SBC-U6Vy9y,SBCZZIRwH,0
19,亞神有限公司,"Carter, Nitzsche and Hartmann",SBC-btHGeB,SBC3TSKYv,0
20,英特衛有限公司,"Ryan Inc",SBC-aoAvVr,SBCdTICwo,0
21,大宇集團股份有限公司,"Hills, Zboncak and Kertzmann",SBC-78f8Xt,SBC9qAIGY,0
22,智冠文化,Swaniawski-Carter,SBC-WkxCTu,SBC5gR6O2,0
25,睛水酒店股份有限公司,"King and Sons",SBC-Udb9Qd,SBCk0U3MU,0
26,創見酒店,Jast-Friesen,SBC-D6iPub,SBC37pGgF,0
28,華研股份有限公司,DuBuque-Von,SBC-s3NRUm,SBCClE1iP,0
30,大宇汽車,"Kirlin PLC",SBC-kJFzxH,SBCnkRiTx,0
31,遊戲橘子酒店,"Emard, Greenfelder and VonRueden",SBC-qxuxWe,SBCULVaEh,0
32,美妙酒店,Senger-Lind,SBC-7DZIBF,SBChfA6ds,0
33,擎天電子有限公司,"Kerluke, Gorczany and Kreiger",SBC-er7erH,SBCvNsiNA,0
34,擎天音樂,"Walter, Rodriguez and Botsford",SBC-C4TZo9,SBCy1szZ7,0
36,合勤企業公司,"Ritchie LLC",SBC-8O8Csg,SBC6xs68U,0
40,彎的科技,"Fritsch, Stroman and Fadel",SBC-00hQaF,SBCxmSPrr,0
41,英特衛公司,"Cassin PLC",SBC-djSqVV,SBCH3JjHf,0
43,統一唱片,"Pagac and Sons",SBC-rEEpT0,SBCgHpdFL,0
44,未來有限公司,"Barrows, Veum and Koss",SBC-AOmoZd,SBCSuIeAI,0
46,光譜有限公司,Bednar-Kub,SBC-xVSG6y,SBC9grERj,0
47,華研唱片股份有限公司,Murray-Hackett,SBC-nEClbB,SBC6sbrFW,0
50,合勤有限公司,Ondricka-Becker,SBC-lolEKN,SBCBqC7HF,0
51,延伸百貨,"Collins, Homenick and Emard",SBC-HKtVqB,SBCm850rY,0
52,添翼創越有限公司,"Kulas LLC",SBC-3dd7wr,SBCdOnVwJ,0
55,宏碁公司,"Rowe PLC",SBC-dbTkwD,SBCvqPrpC,0
56,茂為企業,"Zemlak and Sons",SBC-titZ3r,SBCdDMbbY,0
58,洧誠電腦,"Greenholt PLC",SBC-qC0f9H,SBC8EqLHo,0
59,風雲公司,Wehner-Kautzer,SBC-skmIdK,SBCCKPsLp,0
61,風和日麗娛樂,Klein-Altenwerth,SBC-jwoFw0,SBCM8399r,0
63,豪記集團股份有限公司,"Rempel LLC",SBC-hVqbMK,SBCx6CJm1,0
64,延伸有限公司,"Davis Group",SBC-JUeCEX,SBC1mZKXe,0
65,洧誠數位,"Anderson, Hoppe and Lynch",SBC-wG9sC0,SBCrE1OPo,0
67,光譜工業有限公司,Goodwin-Eichmann,SBC-7dUMSt,SBC7iUV9m,0
68,王品有限公司,Bernhard-Schneider,SBC-scUs4Z,SBCN3gyxN,0
69,趨勢集團,"Moen, Quitzon and Hirthe",SBC-BL9d0B,SBC7xzWtr,0
71,美利達公司,"Cummerata and Sons",SBC-IvPWsv,SBCO0AYVp,0
72,芮河集團,"Shanahan, Schowalter and Schneider",SBC-oz8UX1,SBCwTnOdt,0
